anzahl;vorname;geschlecht
48;Sophie;w
46;Marie;w
29;Mia;w
24;Elias;m
22;Charlotte;w
21;Ben;m
20;Alexander;m
19;Paul;m
19;Lina;w
18;Jonas;m
18;Amelie;w
18;Emma;w
18;Sophia;w
17;Leon;m
16;Maximilian;m
15;Mats;m
15;Johanna;w
14;Felix;m
14;Luis;m
14;Emilia;w
14;Lea;w
14;Lena;w
14;Mila;w
13;Noah;m
12;Luca;m
12;Maria;w
11;Jan;m
11;Niklas;m
11;Anna;w
10;Moritz;m
9;Henri;m
9;Emily;w
9;Milan;m
9;Laura;w
9;Simon;m
9;Luisa;w
9;Tim;m
9;Mira;w
9;Tom;m
9;Sofia;w
8;Amin;m
8;Hanna;w
8;David;m
8;Emilio;m
8;Erik;m
8;Louis;m
8;Max;m
7;Frieda;w
7;Greta;w
7;Jana;w
7;Julia;w
7;Paula;w
7;Emil;m
7;Sofie;w
7;Finn;m
7;Zeynep;w
7;Fynn;m
7;Henry;m
7;Julian;m
7;Lennox;m
7;Liam;m
7;Lukas;m
7;Nico;m
7;Till;m
6;Clara;w
6;Katharina;w
6;Leonie;w
6;Lisa;w
6;Lotta;w
6;Paulina;w
6;Pia;w
6;Adrian;m
6;Benjamin;m
6;Can;m
6;Daniel;m
6;Jayden;m
6;Johannes;m
6;Jonah;m
6;Marlon;m
6;Michael;m
6;Mohamed;m
6;Philipp;m
6;Samuel;m
5;Amy;w
5;Antonia;w
5;Carlotta;w
5;Elif;w
5;Fiona;w
5;Isabella;w
5;Jasmin;w
5;Joleen;w
5;Lara;w
5;Leni;w
5;Lia;w
5;Linda;w
5;Louisa;w
5;Ali;m
5;Mathilda;w
5;Ensar;m
5;Melina;w
5;Fabian;m
5;Pauline;w
5;Henrik;m
5;Sara;w
5;Julius;m
5;Viktoria;w
5;Leo;m
5;Zehra;w
5;Levin;m
5;Lian;m
5;Marcel;m
5;Mehmet;m
5;Mika;m
5;Noel;m
5;Timo;m
5;Ömer;m
4;Amalia;w
4;Asya;w
4;Ela;w
4;Elisabeth;w
4;Eslem;w
4;Hannah;w
4;Helene;w
4;Hermine;w
4;Benedikt;m
4;Ina;w
4;Christian;m
4;Isabelle;w
4;Colin;m
4;Leyla;w
4;Elyesa;m
4;Lilia;w
4;Jasper;m
4;Liya;w
4;Kenan;m
4;Luise;w
4;Lasse;m
4;Mara;w
4;Lucas;m
4;Matilda;w
4;Luke;m
4;Mina;w
4;Maxim;m
4;Nele;w
4;Mert;m
4;Romy;w
4;Mike;m
4;Sarah;w
4;Oliver;m
4;Stella;w
4;Rayan;m
4;Zoe;w
4;Theo;m
3;Alexandra;w
3;Aaron;m
3;Alina;w
3;Abdullah;m
3;Aliyah;w
3;Antonio;m
3;Almila;w
3;Aras;m
3;Amina;w
3;Berat;m
3;Angelina;w
3;Bilal;m
3;Dalia;w
3;Bruno;m
3;Dilara;w
3;Carl;m
3;Elaine;w
3;Christoph;m
3;Elsa;w
3;Dean;m
3;Fabienne;w
3;Efe;m
3;Frida;w
3;Emir;m
3;Helena;w
3;Enes;m
3;Hira;w
3;Eren;m
3;Ida;w
3;Eric;m
3;Klara;w
3;Frederik;m
3;Lilly;w
3;Gabriel;m
3;Lilyan;w
3;Hamza;m
3;Luana;w
3;Johann;m
3;Lucia;w
3;John;m
3;Lucy;w
3;Joshua;m
3;Maja;w
3;Leander;m
3;Merle;w
3;Leandro;m
3;Rosa;w
3;Leonard;m
3;Rosalie;w
3;Linus;m
3;Samira;w
3;Lio;m
3;Selin;w
3;Luc;m
3;Tamara;w
3;Mailo;m
3;Valentina;w
3;Markus;m
3;Valeria;w
3;Matteo;m
3;Victoria;w
3;Nils;m
3;Ole;m
3;Oskar;m
3;Phil;m
3;Rafael;m
3;Robin;m
3;Said;m
3;Salih;m
3;Selim;m
3;Thilo;m
3;Tobias;m
3;Valentin;m
3;Wilhelm;m
2;Ada;w
2;Alexa;w
2;Amira;w
2;Amélie;w
2;Annalena;w
2;Annika;w
2;Arya;w
2;Aylin;w
2;Azra;w
2;Cataleya;w
2;Cecilia;w
2;Celina;w
2;Charlize;w
2;Abdurrahman;m
2;Christina;w
2;Adian;m
2;Dania;w
2;Akın;m
2;Defne;w
2;Alex;m
2;Deren;w
2;Alexandru;m
2;Eda;w
2;Alexej;m
2;Editha;w
2;Alexis;m
2;Elisa;w
2;Anton;m
2;Elise;w
2;Arian;m
2;Emelie;w
2;Arthur;m
2;Emilia-Sophie;w
2;Artur;m
2;Emilie;w
2;Bennet;m
2;Esther;w
2;Damian;m
2;Evelyn;w
2;Dylan;m
2;Evelyne;w
2;Elija;m
2;Fatma;w
2;Emilian;m
2;Felicitas;w
2;Emiliano;m
2;Havin;w
2;Emmanuel;m
2;Hayrunnisa;w
2;Franz;m
2;Isabell;w
2;Friedrich;m
2;Jane;w
2;Georg;m
2;Jette;w
2;Heiko;m
2;Jolie;w
2;Hendrik;m
2;Jolien;w
2;Hussein;m
2;Josefin;w
2;Hüseyin;m
2;Josephine;w
2;Ibrahim;m
2;Joyce;w
2;Issa;m
2;Jule;w
2;Jacob;m
2;Juna;w
2;Jakob;m
2;Jutta;w
2;Jamie;m
2;Kim;w
2;Jannik;m
2;Leandra;w
2;Joel;m
2;Leticia;w
2;Johan;m
2;Leyna;w
2;Jona;m
2;Liv;w
2;Josef;m
2;Liyana;w
2;Justus;m
2;Loreen;w
2;Kadir;m
2;Lou;w
2;Karl;m
2;Luna;w
2;Kilian;m
2;Madeleine;w
2;Klaus;m
2;Magdalena;w
2;Laurent;m
2;Maila;w
2;Lenn;m
2;Malina;w
2;Lennard;m
2;Marcella;w
2;Lennart;m
2;Mariella;w
2;Lenny;m
2;Marleen;w
2;Leopold;m
2;Marlen;w
2;Levi;m
2;Marlena;w
2;Luan;m
2;Marlene;w
2;Malik;m
2;Maya;w
2;Malte;m
2;Medina;w
2;Marc;m
2;Medine;w
2;Mark;m
2;Melek;w
2;Martin;m
2;Melisa;w
2;Mateo;m
2;Melissa;w
2;Mathis;m
2;Milana;w
2;Matti;m
2;Milla;w
2;Maurice;m
2;Naomi;w
2;Michel;m
2;Nela;w
2;Miguel;m
2;Nimet;w
2;Mikail;m
2;Nina;w
2;Milo;m
2;Nora;w
2;Miran;m
2;Olivia;w
2;Muhammad;m
2;Ruth;w
2;Muhammed;m
2;Saida;w
2;Mustafa;m
2;Sina;w
2;Neo;m
2;Su;w
2;Nick;m
2;Thanh;w
2;Niko;m
2;Theresa;w
2;Noe;m
2;Tilda;w
2;Omar;m
2;Violetta;w
2;Oscar;m
2;Zahraa;w
2;Pascal;m
2;Zara;w
2;Phillip;m
2;Zilan;w
2;Piet;m
2;Recep;m
2;René;m
2;Richard;m
2;Rodi;m
2;Roman;m
2;Sebastian;m
2;Semih;m
2;Sultan;m
2;Sven;m
2;Thomas;m
2;Til;m
2;Tilo;m
2;Tristan;m
2;Tyler;m
2;Vito;m
2;Wolfgang;m
2;Yannik;m
2;Yiğit;m
2;Yusuf;m
1;;w
1;Abby;w
1;Abigail;w
1;Acelya;w
1;Achsutha;w
1;Adriana;w
1;Agelina;w
1;Ajlina;w
1;Ajlisha;w
1;Alani;w
1;Alea;w
1;Aleah;w
1;Alejna;w
1;Alessia;w
1;Aleyna;w
1;Alia;w
1;Aliana;w
1;Alice;w
1;Alida;w
1;Alma;w
1;Abdul;m
1;Aloisia;w
1;Abel;m
1;Alvina;w
1;Abeto;m
1;Alyssa;w
1;Above;m
1;Amar;w
1;Adalbert;m
1;Amaya;w
1;Adam;m
1;Amber;w
1;Adar;m
1;Ameli;w
1;Adin;m
1;Amelia;w
1;Adnan;m
1;Amilia;w
1;Adriano;m
