anzahl;vorname;geschlecht
47;Sophie;w
45;Marie;w
25;Ben;m
25;Leon;m
24;Mia;w
22;Milan;m
22;Noah;m
22;Maria;w
20;Elias;m
19;Mila;w
19;Jonas;m
18;Lea;w
18;Paul;m
17;Emilia;w
17;Max;m
16;Emily;w
16;Alexander;m
16;Sophia;w
16;Jakob;m
16;Luca;m
16;Mats;m
15;Anna;w
14;Charlotte;w
14;Emma;w
13;Felix;m
13;Elisa;w
13;Maximilian;m
13;Ella;w
12;David;m
12;Lena;w
12;Henri;m
12;Luisa;w
12;Liam;m
12;Moritz;m
11;Amelie;w
11;Lia;w
11;Jan;m
11;Lina;w
11;Maxim;m
11;Mina;w
11;Paula;w
10;Samuel;m
10;Vincent;m
10;Elif;w
10;Klara;w
10;Lotta;w
10;Maya;w
9;Ali;m
9;Finn;m
9;Michael;m
9;Mika;m
9;Lisa;w
9;Tim;m
9;Victoria;w
8;Henry;m
8;Ida;w
8;Leonard;m
8;Johanna;w
8;Lukas;m
8;Lara;w
8;Leonie;w
8;Marlene;w
7;Anton;m
7;Emil;m
7;Julian;m
7;Hanna;w
7;Julius;m
7;Jule;w
7;Linus;m
7;Laura;w
7;Louis;m
7;Leni;w
7;Peter;m
7;Mira;w
7;Yusuf;m
6;Greta;w
6;Alessio;m
6;Hannah;w
6;Amir;m
6;Isabella;w
6;Christian;m
6;Jana;w
6;Daniel;m
6;Louisa;w
6;Fynn;m
6;Nora;w
6;Hamza;m
6;Pauline;w
6;Ole;m
6;Zeynep;w
6;Phil;m
6;Zoe;w
6;Simon;m
6;Tom;m
5;Carlotta;w
5;Cataleya;w
5;Benjamin;m
5;Clara;w
5;Johann;m
5;Frida;w
5;Joshua;m
5;Joleen;w
5;Lars;m
5;Lou;w
5;Leo;m
5;Luise;w
5;Luis;m
5;Matilda;w
5;Marlon;m
5;Milena;w
5;Nico;m
5;Nele;w
5;Noel;m
5;Pia;w
5;Philipp;m
5;Romy;w
5;Ömer;m
5;Sofia;w
5;Thea;w
4;Adam;m
4;Eymen;m
4;Alessia;w
4;Gabriel;m
4;Alissa;w
4;Georg;m
4;Amina;w
4;Hannes;m
4;Amira;w
4;Jason;m
4;Ela;w
4;Jonah;m
